RatingID,UserID,WineID,Date,Rating,AveragedOver#Ratings
8724,1160507,101614,2015-09-15 16:30:38,5.0,2
21441,1704106,101596,2015-08-02 16:30:44,4.0,1
26546,1292494,171556,2020-10-18 18:40:33,4.0,1
36464,1292494,171143,2019-12-29 11:11:03,4.5,1
55255,1186325,111619,2014-02-19 17:54:07,4.5,1
69005,1663935,171059,2018-05-17 03:51:44,4.0,1
75004,1228764,111405,2021-10-16 08:42:56,4.5,1
85842,1230591,155794,2015-12-31 21:34:26,1.0,1
112043,1926245,193739,2020-01-20 09:01:42,5.0,1
119181,1446061,100698,2020-08-31 00:57:11,4.0,1
127952,1968322,111817,2020-07-11 18:46:58,3.5,1
158816,1856929,156674,2014-06-30 19:50:33,4.0,1
168468,1926245,176582,2021-03-06 07:10:19,4.5,1
178001,2023552,155292,2013-04-19 00:59:29,4.0,1
182209,1292494,171165,2019-12-29 11:30:21,4.0,1
270922,1550277,138372,2016-10-22 20:55:07,4.5,1
271319,1803308,111401,2019-11-06 16:12:39,5.0,1
287959,1186325,111555,2017-05-14 18:36:14,4.0,1
293960,1704106,163525,2018-02-15 00:36:18,4.0,1
312811,1392815,155516,2021-04-16 18:19:44,5.0,1
321997,1056717,135826,2019-10-26 19:03:05,5.0,1
323311,1160507,136487,2016-01-01 13:23:01,4.5,1
327207,1597569,112381,2021-04-26 07:13:37,3.6666666666666665,3
327209,1597569,111410,2021-04-26 07:04:06,4.5,1
346406,1160507,138478,2015-03-17 09:34:07,5.0,1
369884,1403834,155298,2015-10-03 05:18:34,4.0,1
407823,1678914,111498,2016-03-18 20:49:18,5.0,1
410503,1160507,103084,2019-05-01 18:39:59,4.5,1
425813,1970799,194525,2018-02-12 20:03:06,2.0,1
430182,1431232,174223,2019-08-25 13:09:20,4.5,1
442811,1160507,104090,2019-05-01 18:38:50,4.5,1
448768,1550277,111902,2016-03-16 18:33:50,4.5,1
450707,1451015,140283,2014-05-20 02:28:46,5.0,1
451690,1500181,111547,2017-03-25 04:19:59,4.0,1
463294,1431232,190417,2019-09-14 13:43:30,4.0,1
467678,1704106,159267,2017-01-23 22:46:01,4.0,1
468103,1451015,193837,2014-06-03 01:04:37,4.0,1
468838,1704106,155463,2015-07-07 00:44:13,5.0,1
469407,1160507,155310,2016-06-04 19:38:44,3.5,1
495702,1160507,135907,2015-03-17 09:23:48,5.0,1
501160,1704106,155292,2017-08-18 01:24:31,4.5,1
501203,1716126,148289,2016-01-15 20:17:50,3.5,1
511929,1315762,117012,2019-03-02 13:03:24,4.5,1
514376,1160507,111476,2015-12-19 20:06:20,4.5,1
536449,1704106,193478,2016-03-01 01:29:25,4.0,1
545870,1160507,101592,2019-05-02 20:37:43,4.5,2
546849,1186325,139525,2020-01-18 19:41:30,5.0,1
551492,1704106,111645,2015-07-21 21:49:08,3.0,1
553108,1160507,103132,2015-09-18 21:17:59,4.0,1
568510,1464001,111681,2018-09-19 18:51:52,3.5,1
571091,1930594,155428,2013-10-18 14:09:54,3.5,1
580140,1582234,137131,2014-09-13 14:10:18,5.0,1
592588,1550277,111760,2016-03-16 19:20:25,4.5,1
593397,1550277,111411,2016-03-17 23:20:52,4.0,1
597266,1669009,111391,2015-01-14 14:14:36,5.0,1
626596,1160507,136280,2015-09-09 20:36:21,4.5,1
639054,1706672,155290,2016-03-24 00:11:45,5.0,1
643924,1461073,170983,2019-09-30 18:05:24,4.0,1
650604,1663964,111521,2013-12-31 17:27:34,4.0,1
665340,1649423,111435,2019-10-19 20:49:47,4.0,1
673124,1160507,117428,2016-07-03 12:13:03,4.5,1
674136,1706672,102086,2017-10-01 18:09:34,4.5,1
675927,1706672,162497,2017-10-01 06:33:55,5.0,1
686856,1160507,111391,2017-01-01 10:55:20,4.5,1
691440,1292494,171090,2020-01-11 10:45:37,4.5,1
698912,1550277,115904,2015-04-30 04:32:08,3.0,1
698949,1550277,111435,2015-04-30 04:30:23,4.0,1
707248,1160507,136178,2014-10-02 17:43:50,5.0,1
713713,1160507,123955,2015-03-16 12:32:43,4.0,1
713791,1160507,123731,2015-03-16 12:16:30,4.0,1
718960,1160507,137305,2015-04-28 19:12:44,4.5,1
726538,1706672,155372,2015-04-26 05:11:23,4.5,1
732958,1655356,102067,2016-08-22 22:32:37,4.0,1
741877,1628862,180869,2013-12-04 00:52:52,2.0,1
755898,1160507,143036,2015-01-16 22:29:22,4.0,1
773895,1678914,111821,2017-05-26 19:48:37,4.0,1
785638,1678914,112170,2015-11-01 21:16:38,5.0,1
788480,1704106,100611,2015-11-09 23:48:40,3.0,1
794909,1704106,139613,2016-05-19 00:52:05,4.0,1
801024,1704106,103967,2015-06-30 01:16:07,4.0,1
816000,1704106,135980,2014-04-08 01:45:49,4.0,1
825482,1160507,111547,2014-04-30 14:45:08,4.0,1
836966,1704106,155303,2019-04-09 23:53:02,4.0,1
850279,1704106,101938,2018-03-17 23:47:40,4.0,1
864868,1704106,111673,2018-04-10 00:19:13,4.0,1
868200,1704106,166229,2014-06-12 18:44:33,3.0,1
892980,2057835,111391,2018-09-21 19:07:50,5.0,1
894036,1704106,138188,2015-04-20 01:35:41,5.0,1
897051,1704106,136491,2015-04-11 15:25:59,4.0,1
898798,1704106,155513,2015-06-04 01:15:36,4.0,1
908939,1160507,135954,2015-05-08 20:44:46,4.5,1
914068,1704106,111825,2016-11-08 13:06:27,4.0,1
915434,1550277,138940,2016-11-13 00:01:31,4.5,1
920407,1704106,140795,2014-11-03 23:56:32,4.0,1
922790,1704106,155289,2016-09-27 00:31:26,4.0,1
937558,1704106,169054,2015-12-15 00:07:31,3.5,1
955403,1704106,111902,2015-06-23 00:57:52,5.0,1
992018,1704106,112319,2014-06-26 01:17:48,4.0,1
993593,1704106,123762,2015-01-06 23:22:40,3.0,1
997428,1704106,140881,2017-03-14 10:31:18,3.0,1
999264,1930594,111645,2013-10-27 05:56:21,3.0,1
1005974,1704106,112696,2021-12-28 01:36:47,4.0,1
1009693,1704106,159535,2015-12-01 00:32:15,4.0,1
1013833,1186325,136260,2015-07-19 18:41:53,4.5,1
1015715,1643391,119551,2019-05-04 01:26:23,5.0,1
1017436,1704106,137298,2018-08-07 01:34:01,3.5,1
1034399,1160507,102081,2017-09-21 13:34:10,4.5,1
1039992,1704106,156945,2016-03-06 00:47:58,4.0,1
1041103,1704106,162702,2015-02-08 21:54:07,5.0,1
1045790,1968322,114606,2020-08-28 19:02:34,4.5,1
1055385,1704106,114288,2015-05-19 00:26:34,4.0,1
1062885,1704106,155290,2019-06-11 01:25:37,5.0,1
1069989,1704106,155467,2014-05-15 00:34:58,4.0,1
1070443,1856929,176218,2015-07-27 22:59:45,4.5,1
1074837,1160507,136343,2015-02-27 14:18:01,5.0,1
1078493,1704106,167676,2018-03-12 11:14:46,3.5,1
1080636,1160507,155356,2015-03-04 19:26:40,4.0,1
1085720,1704106,168157,2015-03-03 01:17:42,3.5,1
1089158,1704106,112262,2016-06-06 23:23:37,4.0,1
1099846,1669009,138639,2017-02-17 18:17:03,5.0,1
1101224,1704106,167146,2019-06-04 00:29:04,4.0,1
1103072,1550277,155616,2015-04-12 20:51:02,4.0,1
1117789,1160507,137253,2015-03-17 08:55:53,4.5,1
1140572,1601486,137503,2020-07-22 03:43:21,3.5,1
1150734,1160507,103967,2015-09-18 21:19:50,4.5,1
1151353,1186325,135834,2018-04-10 18:34:42,4.0,1
1152287,2023552,111455,2013-04-17 23:17:05,4.0,1
1158449,1704106,162713,2015-11-23 23:41:07,3.5,1
1160002,1704106,167632,2016-06-07 00:21:26,4.0,1
1164013,1704106,101565,2015-08-25 01:54:19,4.5,1
1170307,1704106,155819,2016-03-17 00:42:18,4.0,1
1173799,1704106,194933,2018-12-17 23:12:17,4.5,1
1174270,1160507,102030,2015-09-16 16:01:59,4.75,2
1177997,1160507,103604,2015-09-14 22:12:22,5.0,1
1186878,1704106,163930,2018-10-16 00:39:19,4.0,1
1188111,1704106,167927,2015-03-03 02:57:29,3.5,1
1188327,1341302,115604,2014-10-23 18:27:06,4.0,1
1190025,1704106,164052,2016-10-17 23:56:39,4.0,1
1205024,1704106,102904,2018-09-18 00:09:21,4.0,1
1207223,1704106,168625,2016-03-14 23:49:00,4.0,1
1214100,1628862,135922,2014-08-10 00:22:56,3.0,1
1219614,1704106,136865,2015-07-17 02:04:33,4.5,1
1224773,1165086,155312,2017-12-20 22:55:16,4.5,1
1225457,1160507,103033,2016-03-11 20:27:00,4.5,2
1228305,1160507,105042,2016-03-11 19:44:42,4.0,1
1232595,1716126,140403,2015-10-22 09:34:32,4.0,1
1233759,1704106,174444,2016-03-29 00:24:55,4.0,1
1234441,1268542,140337,2021-07-17 10:55:31,4.0,1
1236988,1704106,155902,2015-07-10 23:03:26,3.5,1
1239905,1160507,136259,2015-07-12 10:27:53,4.5,1
1246652,1451015,167643,2014-06-02 23:18:45,5.0,1
1272255,1706672,155312,2017-10-01 06:20:24,5.0,1
1277481,1704106,156364,2014-08-26 01:17:03,3.0,1
1278631,1704106,155713,2017-04-22 00:21:36,4.0,1
1280527,1716126,106627,2016-01-04 23:40:30,3.5,1
1282558,2009933,135997,2015-11-16 19:17:14,4.5,1
1284512,1704106,139752,2016-02-04 00:14:01,3.0,1
1286310,1669009,136825,2015-01-14 14:11:11,5.0,1
1300673,1597569,136226,2017-03-04 17:55:28,4.0,1
1303007,1704106,171256,2015-05-05 00:21:04,4.0,1
1306878,1704106,168398,2017-08-06 16:03:11,4.0,1
1316170,1704106,111630,2016-12-18 15:32:42,4.0,1
1317404,1655356,155758,2017-11-25 21:49:33,4.0,1
1317846,1704106,168331,2015-01-31 23:58:05,4.0,1
1321382,1704106,156491,2018-07-11 00:03:57,5.0,1
1324688,1230591,156150,2015-05-25 16:31:22,3.0,1
1333765,1160507,193478,2015-04-28 20:07:56,4.5,1
1339869,1704106,138762,2015-06-06 03:18:09,3.0,1
1348417,1704106,135913,2019-01-14 23:35:42,4.0,1
1352433,1794993,155388,2013-06-01 20:33:31,4.0,1
1355193,1704106,179821,2014-09-16 00:05:04,5.0,1
1357425,1704106,136721,2014-05-06 01:23:00,4.0,1
1362521,1935621,157062,2014-10-06 19:55:57,4.0,1
1365497,1704106,165989,2016-10-09 01:52:04,4.0,1
1372211,1403834,155606,2016-10-11 20:16:47,3.0,1
1374755,2023552,174451,2013-11-10 02:39:24,3.5,1
1385780,1706672,168259,2016-01-19 05:27:44,5.0,1
